[INFO] 檢查輸入檔案是否存在...
[INFO] 檢查/建立輸出目錄...
[INFO] 載入資料...
[INFO] 建立帳戶層級特徵...
[INFO] 建立帳戶層級特徵...
[INFO] 建立標籤...
[INFO] 切分資料...
[INFO] 建立前處理 pipeline...
[INFO] 正樣本數=614, 負樣本數=654905
[INFO] scale_pos_weight = 1066.62
Iter 1/10 | Best AUC=0.9797
Iter 2/10 | Best AUC=0.9802
Iter 3/10 | Best AUC=0.9802
Iter 4/10 | Best AUC=0.9803
Iter 5/10 | Best AUC=0.9803
Iter 6/10 | Best AUC=0.9803
Iter 7/10 | Best AUC=0.9803
Iter 8/10 | Best AUC=0.9803
Iter 9/10 | Best AUC=0.9804
Iter 10/10 | Best AUC=0.9804
[INFO] PSO 最佳參數: [3.         0.01       0.6        1.         2.40152622 0.17692891]
[INFO] PSO 最佳 AUC: 0.9804
[371]	validation_0-auc:0.97767	validation_0-logloss:0.19011
[372]	validation_0-auc:0.97766	validation_0-logloss:0.19002
[373]	validation_0-auc:0.97769	validation_0-logloss:0.18983
[374]	validation_0-auc:0.97771	validation_0-logloss:0.18978
[375]	validation_0-auc:0.97773	validation_0-logloss:0.18962
[376]	validation_0-auc:0.97769	validation_0-logloss:0.18938
[377]	validation_0-auc:0.97770	validation_0-logloss:0.18921
[378]	validation_0-auc:0.97775	validation_0-logloss:0.18894
[379]	validation_0-auc:0.97772	validation_0-logloss:0.18882
[380]	validation_0-auc:0.97769	validation_0-logloss:0.18874
[381]	validation_0-auc:0.97763	validation_0-logloss:0.18847
[382]	validation_0-auc:0.97760	validation_0-logloss:0.18828
[383]	validation_0-auc:0.97762	validation_0-logloss:0.18810
[384]	validation_0-auc:0.97761	validation_0-logloss:0.18794
[385]	validation_0-auc:0.97765	validation_0-logloss:0.18775
[386]	validation_0-auc:0.97767	validation_0-logloss:0.18755
[387]	validation_0-auc:0.97766	validation_0-logloss:0.18739
[388]	validation_0-auc:0.97768	validation_0-logloss:0.18710
[389]	validation_0-auc:0.97768	validation_0-logloss:0.18688
[390]	validation_0-auc:0.97771	validation_0-logloss:0.18668
